"分類","品名","說明","價格_NT$","圖片"
"套餐","外帶套餐（任一餐點搭配飲品折 20 元）","","0",""
"期間限定","芭氣美式","紅心芭樂與義式濃縮，搭配沁涼氣泡水，是一杯顏值與風味兼具的台式浪漫限定！","150",""
"飲料系列","吉利紅茶","推薦純粹好茶，百搭又耐喝的經典首選","60",""
"飲料系列","元氣綠茶","清新的茉莉茶香！為您注入滿滿元氣，佐餐的最佳良伴～","60",""
"飲料系列","蜂蜜紅茶","紅茶遇上蜂蜜！口感滑順，微甜不膩的滋味在舌尖蔓延，帶來滿滿的幸福","70",""
"飲料系列","蜂蜜綠茶","茉莉綠茶的清爽，搭配淡淡蜜香，甜美解渴、層次豐富","70",""
"飲料系列","蜂蜜檸檬紅茶","酸甜滋味的完美平衡！蜂蜜漬檸檬帶來自然果香，融合紅茶香氣，口感清新豐富","85",""
"飲料系列","熱帶水果茶","融合百香果、鳳梨與香橙的迷人果香，每一口都喝得到陽光的味道","85",""
"飲料系列","柳橙綠茶","喝進新鮮果香！香甜柳橙原汁融入清爽茉香綠茶，清甜爽口，解膩 NO.1","85",""
"飲料系列","福氣鮮奶茶","醇厚紅茶與優質鮮乳的黃金比例，濃郁不膩的經典滋味","90",""
"飲料系列","黑糖鮮奶茶","濃郁醇厚的手工古早味！黑糖甜香與奶香在口中層層化開，甜蜜又療癒～","100",""
"飲料系列","焦糖鮮奶茶","香濃焦糖與絲滑鮮奶茶的完美調和，獨特的迷人香氣，是最適合犒賞自己的甜點級飲品！","100","官方商品圖/04_焦糖鮮奶茶.jpeg"
"飲料系列","蜂蜜鮮奶茶","溫潤迷人的輕甜風味！捨棄砂糖改以蜜香提味，口感溫順自然，輕盈無負擔","100",""
"咖啡系列","精選美式","經典純粹的咖啡風味！精選優質咖啡豆萃取，風味甘醇濃厚","85","官方商品圖/02_精選美式.jpeg"
"咖啡系列","精選拿鐵","咖啡的醇厚與牛奶的甜美完美交融，口感圓潤滑順～","100","官方商品圖/03_精選拿鐵.jpeg"
"咖啡系列","焦糖瑪奇朵","入口先是焦糖微甜焦香，接著絲滑奶香與咖啡醇厚，層次奢華豐富","110",""
"咖啡系列","榛果拿鐵","在經典拿鐵中加入溫潤優雅的堅果香氣，溫潤順口，極具療癒","110",""
